id2;Aponds;Tipologia;Tipo;Apond;Tipo;Nome;Munic;RegMetrop;Setores;Pessoas_Univ;Domicílios_Univ;Pessoas_Amo;Domicílios_Amo;Pp_Mobilidade;arborizacao;esgoto_ceu_aberto;lixo_acumulado;Pp_N_AglSubn;Pp_Densidade;Pp_Dens_MB_adeq;Pp_Parede;Pp_Especie;Pp_Agua;Pp_Esgoto;Pp_Lixo;Pp_Energia;Iluminacao;pavimentacao;calcada;meio_fio_guia;bueiro_boca_de_lobo;rampa_cadeirante;logradouro;IMobilid;IArbor;IEsg_ceu;ILixo_acum;IAglsubn;IDensid;IDens_banh;IParede;IEspecie;IAgua;IEsgoto;ILixo;IEnergia;IIlumin;IPavim;ICalcada;IMeio_fio;IBueiro;IRampa;ILograd;D1;D2;D3;D4;D5;IBEU
22;4115200004003;POPULAR;5;4.115.200.004.003;Definida automaticamente;Área 003;4.115.200;36;22;19.224;5.699;1.959;564;95,214105793451;97,488536890371;100;100,000000000000;100;90,40326697295;76,365492598264;93,619193466054;99,795814190914;100,000000000000;42,725880551302;100,000000000000;98,468606431853;88,641100458524;99,796790329304;96,40996248437;100,000000000000;93,351396415173;15,178199249687;58,513964151730;0,718476811379;0,852266875904;1;1,000000000000;1;0,462704185809;0,198721948084;0,624658439180;0,965969031819;1,000000000000;0,42725880551;1,000000000000;0,781229490265;0,053425038210;0,996305278715;0,94209616910;1,000000000000;0,913654498898;0,219973902169;0,524264628334;0,718;0,951;0,650;0,727;0,664;0,742
23;4115200004004;MÉDIO;6;4.115.200.004.004;Definida automaticamente;Área 004;4.115.200;36;25;13.906;4.396;1.334;435;96,660482374768;95,841455490578;100;99,415204678363;100;93,10344827586;88,305847076462;94,302848575712;99,775112443778;96,326836581709;36,806596701649;100,000000000000;99,625187406297;99,848386398094;99,913363656054;93,53115298534;98,101220128511;94,736842105263;19,926359107646;92,361562342069;0,803557786751;0,755379734740;1;0,973418394471;1;0,631465517241;0,640957299128;0,664873445630;0,962518740630;0,840297242683;0,36806596702;1,000000000000;0,946455343757;0,987365533175;0,998424793746;0,89566375783;0,965476729609;0,931647300068;0,288787813154;0,932067016170;0,804;0,910;0,780;0,705;0,857;0,811
24;4115200004005;SUPERIOR MÉDIO;7;4.115.200.004.005;Definida automaticamente;Área 005;4.115.200;36;28;13.056;4.851;1.246;475;96,296296296296;89,325323475046;100;99,930683918669;100;97,59229534510;97,592295345104;97,431781701445;99,678972712681;89,967897271268;95,585874799358;99,277688603531;98,635634028893;99,892174984596;97,566235366605;96,13370301910;97,535428219347;91,281577325940;11,121380160197;88,462723351818;0,782135076253;0,372077851473;1;0,996849269030;1;0,912018459069;0,984899827596;0,848928335379;0,946495452113;0,563821620490;0,95585874799;0,896812657647;0,805090575556;0,991014582050;0,955749733938;0,93764037128;0,955189603988;0,886773731506;0,161179422612;0,885093052432;0,782;0,790;0,938;0,835;0,825;0,834
25;4115200004006;POPULAR;5;4.115.200.004.006;Definida automaticamente;Área 006;4.115.200;36;23;17.076;5.207;1.669;503;94,312796208531;93,627393398332;100;100,000000000000;100;95,14679448772;81,246255242660;92,750149790294;99,700419412822;100,000000000000;46,854403834632;100,000000000000;99,460754943080;96,781393163397;90,261952308235;78,90872782803;89,933043580406;87,219546575825;15,652531422530;52,560789380947;0,665458600502;0,625140788137;1;1,000000000000;1;0,759174655482;0,379490934913;0,573538222958;0,950069902137;1,000000000000;0,46854403835;1,000000000000;0,922964991869;0,731782763616;0,822944587422;0,65981819077;0,816964428735;0,834020085400;0,226848281486;0,452539631096;0,665;0,857;0,732;0,772;0,649;0,735
26;4115200004007;MÉDIO;6;4.115.200.004.007;Definida automaticamente;Área 007;4.115.200;36;26;19.385;6.075;1.881;588;98,331346841478;98,867163252638;100;99,746534243741;100;94,41786283892;87,506645401382;97,979797979798;100,000000000000;99,362041467305;35,778841041999;99,787347155768;99,468367889421;99,363749224084;94,822056693565;92,52534657563;94,185805917650;81,078005379681;9,342023587834;68,042623629216;0,901843931852;0,933362544273;1;0,988478829261;1;0,713616427432;0,611357237088;0,881164587047;1,000000000000;0,972262672492;0,35778841042;0,969621022253;0,924052555632;0,946979102007;0,905855576247;0,87944107380;0,894287380321;0,754259810126;0,135391646200;0,639067754569;0,902;0,973;0,841;0,716;0,736;0,834
27;4115200004008;MÉDIO;6;4.115.200.004.008;Definida automaticamente;Área 008;4.115.200;36;28;17.509;5.982;1.708;575;98,809523809524;97,733711048159;100;98,514193212696;100;93,79391100703;85,655737704918;98,302107728337;99,180327868853;92,447306791569;91,744730679157;99,238875878220;99,121779859485;99,930623807597;99,751401977222;99,47967855698;99,803434121524;93,652078395097;11,701451118691;80,615135572643;0,929971988796;0,866688885186;1;0,932463327850;1;0,674619437939;0,542805100182;0,900123984020;0,863387978142;0,671622034416;0,91744730679;0,891267982603;0,874539979926;0,994218650633;0,995480035949;0,99160771866;0,996426074937;0,917559459677;0,169586248097;0,790543802080;0,930;0,933;0,796;0,854;0,836;0,870
28;4115200004009;SUPERIOR MÉDIO;7;4.115.200.004.009;Definida automaticamente;Área 009;4.115.200;36;30;15.577;6.307;1.414;580;99,636363636364;100,000000000000;100;99,980615146033;100;98,23196605375;94,837340876945;98,019801980198;99,151343705799;77,722772277228;99,363507779349;99,575671852900;98,514851485149;99,806151460326;100,000000000000;98,74644611011;98,746446110106;97,706125613854;35,836133367795;80,408374256914;0,978609625668;1,000000000000;1;0,999118870274;1;0,951997878359;0,882864476924;0,883517763541;0,858557284300;0,031424881619;0,99363507779;0,939381693271;0,787835926450;0,983845955027;1,000000000000;0,97978138887;0,977208111093;0,970209423557;0,519364251707;0,788052701891;0,979;1,000;0,915;0,749;0,888;0,906
29;4115200004010;SUPERIOR MÉDIO;7;4.115.200.004.010;Definida automaticamente;Área 010;4.115.200;36;29;20.636;6.728;1.995;639;97,724399494311;98,868542504094;100;99,910674408218;100;96,19047619048;91,679197994988;97,092731829574;100,000000000000;91,478696741855;80,802005012531;100,000000000000;99,548872180451;99,945412138355;99,196069673962;92,68522653963;99,186144608208;97,885960994492;19,810431244107;96,957967346534;0,866141146724;0,933443676711;1;0,995939745828;1;0,824404761905;0,765896222037;0,828984225269;1,000000000000;0,629508553994;0,80802005013;1,000000000000;0,935553168636;0,995451011530;0,985383084981;0,88201978290;0,985202629240;0,972544947980;0,287107699190;0,987445389717;0,866;0,971;0,884;0,836;0,871;0,886
30;4115200004011;MÉDIO;6;4.115.200.004.011;Definida automaticamente;Área 011;4.115.200;36;35;20.962;7.196;1.981;684;96,361185983828;92,317708333333;100;97,618272569444;100;85,80310880829;79,378238341969;89,067357512953;94,455958549223;91,658031088083;62,797927461140;93,626943005181;93,264248704663;99,500868055556;89,035373263889;79,76888020833;88,633897569444;84,722222222222;6,499565972222;90,608723958333;0,785952116696;0,548100490196;1;0,891739662247;1;0,175194300518;0,310305123777;0,356903383115;0,075993091537;0,637305699482;0,62797927461;0,089563286454;0,037749814952;0,958405671296;0,800643150253;0,67369161626;0,793343592172;0,801587301587;0,094196608293;0,910948481426;0,786;0,794;0,384;0,404;0,719;0,617
31;4115200004012;SUPERIOR MÉDIO;7;4.115.200.004.012;Definida automaticamente;Área 012;4.115.200;36;22;12.916;4.319;1.275;422;98,429319371728;95,619583040525;100;99,484656828297;100;98,19607843137;97,490196078431;98,431372549020;99,450980392157;85,098039215686;85,803921568627;99,058823529412;99,372549019608;99,750136644023;99,195752322948;98,14944951979;99,195752322948;96,486296556571;31,240727727024;76,942297181229;0,907607021866;0,742328414149;1;0,976575310377;1;0,949754901961;0,981118373275;0,907727797001;0,908496732026;0,352088661552;0,85803921569;0,865546218487;0,910364145658;0,979178053669;0,985377314963;0,97015241161;0,985377314963;0,954367487748;0,452764169957;0,746292737123;0,908;0,906;0,949;0,769;0,868;0,880
